experiment_name,precision,elapsed_ms,iterations,avg_time_ns,min_time_ns,max_time_ns,time_stddev,iterations_per_sec,result,category,symbol,name,from,to,conversion
Marathon distance_convert,f64,24,10000,2419.2188,2419.2188,2419.2188,0,416666.66,Marathon distance | 42.195 km → 2.621876e1 mi,Length,km,Marathon distance,42.195 km,2.621876e1 mi,42.195 km → 2.621876e1 mi
Everest height_convert,f64,24,10000,2472.558,2472.558,2472.558,0,416666.66,Everest height | 8848.86 m → 2.903169e4 ft,Length,m,Everest height,8848.86 m,2.903169e4 ft,8848.86 m → 2.903169e4 ft
Light-year_convert,f64,24,10000,2447.654,2447.654,2447.654,0,416666.66,Light-year | 1 ly → 9.460730e12 km,Length,ly,Light-year,1 ly,9.460730e12 km,1 ly → 9.460730e12 km
Human body temp_convert,f64,34,10000,3439.0276,3439.0276,3439.0276,0,294117.66,Human body temp | 37 °C → 3.101500e2 K,Temperature,°C,Human body temp,37 °C,3.101500e2 K,37 °C → 3.101500e2 K
Liquid nitrogen_convert,f64,34,10000,3463.7964,3463.7964,3463.7964,0,294117.66,Liquid nitrogen | 77.36 K → -1.957900e2 °C,Temperature,K,Liquid nitrogen,77.36 K,-1.957900e2 °C,77.36 K → -1.957900e2 °C
Sun surface_convert,f64,34,10000,3407.4375,3407.4375,3407.4375,0,294117.66,Sun surface | 5778 K → 9.940730e3 °F,Temperature,K,Sun surface,5778 K,9.940730e3 °F,5778 K → 9.940730e3 °F
Atmospheric_convert,f64,33,10000,3394.7344,3394.7344,3394.7344,0,303030.3,Atmospheric | 101325 Pa → 1.000000e0 atm,Pressure,Pa,Atmospheric,101325 Pa,1.000000e0 atm,101325 Pa → 1.000000e0 atm
Deep ocean_convert,f64,34,10000,3402.8184,3402.8184,3402.8184,0,294117.66,Deep ocean | 1100 atm → 1.114575e8 Pa,Pressure,atm,Deep ocean,1100 atm,1.114575e8 Pa,1100 atm → 1.114575e8 Pa
Earth mass_convert,f64,38,10000,3899.7712,3899.7712,3899.7712,0,263157.9,Earth mass | 5972000000000000000000000 kg → 1.316601e25 lb,Mass,kg,Earth mass,5972000000000000000000000 kg,1.316601e25 lb,5972000000000000000000000 kg → 1.316601e25 lb
Proton mass_convert,f64,39,10000,3953.6165,3953.6165,3953.6165,0,256410.25,Proton mass | 0.000000000000000000000000001672 kg → 1.006902e0 amu,Mass,kg,Proton mass,0.000000000000000000000000001672 kg,1.006902e0 amu,0.000000000000000000000000001672 kg → 1.006902e0 amu
1 eV_convert,f64,47,10000,4721.063,4721.063,4721.063,0,212765.95,1 eV | 1 eV → 1.602177e-19 J,Energy,eV,1 eV,1 eV,1.602177e-19 J,1 eV → 1.602177e-19 J
TNT equivalent_convert,f64,47,10000,4737.55,4737.55,4737.55,0,212765.95,TNT equivalent | 4184000000 J → 1.000000e9 cal,Energy,J,TNT equivalent,4184000000 J,1.000000e9 cal,4184000000 J → 1.000000e9 cal
1 day_convert,f64,49,10000,4989.7856,4989.7856,4989.7856,0,204081.63,1 day | 1 day → 8.640000e4 s,Time,day,1 day,1 day,8.640000e4 s,1 day → 8.640000e4 s
1 year_convert,f64,54,10000,5427.91,5427.91,5427.91,0,185185.19,1 year | 1 year → 8.766000e3 h,Time,year,1 year,1 year,8.766000e3 h,1 year → 8.766000e3 h
Right angle_convert,f64,52,10000,5282.3174,5282.3174,5282.3174,0,192307.69,Right angle | 90 deg → 1.570796e0 rad,Angle,deg,Right angle,90 deg,1.570796e0 rad,90 deg → 1.570796e0 rad
